player;nba_draft;listed_height;listed_weight;nationality;college;high_school;playing_career;position;draft_year;draft_round;draft_pick
Ralph Beard;1949 / Round: 2;5 ft 10 in (1.78 m);175 lb (79 kg);American;Kentucky (1945–1949);Louisville Male (Louisville, Kentucky);1949–1951;Guard;1949 ; Round: 2;
Ralph Sampson;1983 / Round: 1 / Pick: 1st overall;7 ft 4 in (2.24 m);228 lb (103 kg);American;Virginia (1979–1983);Harrisonburg (Harrisonburg, Virginia);1983–1995;Center / Power forward;1983 ; Round: 1 ; Pick: 1st overall
Randy Smith;1971 / Round: 7 / Pick: 104th overall;6 ft 3 in (1.91 m);180 lb (82 kg);American;Buffalo State (1968–1971);Bellport (Brookhaven, New York);1971–1983;Guard / Small forward;1971 ; Round: 7 ; Pick: 104th overall
Rashard Lewis;1998 / Round: 2 / Pick: 32nd overall;6 ft 10 in (2.08 m);235 lb (107 kg);American;;Alief Elsik (Houston, Texas);1998–present;Forward;1998 ; Round: 2 ; Pick: 32nd overall
Rasheed Wallace;1995 / Round: 1 / Pick: 4th overall;6 ft 11 in (2.11 m);230 lb (104 kg);American;North Carolina (1993–1995);Simon Gratz (Philadelphia, Pennsylvania);1995–2013;Power forward / Center;1995 ; Round: 1 ; Pick: 4th overall
Ray Allen;1996 / Round: 1 / Pick: 5th overall;6 ft 5 in (1.96 m);205 lb (93 kg);American;Connecticut (1993–1996);Hillcrest (Dalzell, South Carolina);1996–present;Shooting guard;1996 ; Round: 1 ; Pick: 5th overall
Ray Felix;1953 / Round: 1 / Pick: 1st overall;6 ft 11 in (2.11 m);220 lb (100 kg);American;LIU Brooklyn (1949–1951);Metropolitan (New York City, New York);1953–1962;Center;1953 ; Round: 1 ; Pick: 1st overall
Red Rocha;1947 / Round: -- / Pick: --;6 ft 9 in (2.06 m);185 lb (84 kg);American;Oregon State (1944–1947);Hilo (Hilo, Hawaii);1947–1957;Center / Forward;1947 ; Round: -- ; Pick: --
Reggie Lewis;1987 / Round: 1 / Pick: 22nd overall;6 ft 7 in (2.01 m);195 lb (88 kg);American;Northeastern (1983–1987);Paul Laurence Dunbar (Baltimore, Maryland);1987–1993;Small forward;1987 ; Round: 1 ; Pick: 22nd overall
Reggie Miller;1987 / Round: 1 / Pick: 11th overall;6 ft 7 in (2.01 m);195 lb (88 kg);American;UCLA (1983–1987);Riverside Polytechnic (Riverside, California);1987–2005;Shooting guard;1987 ; Round: 1 ; Pick: 11th overall
Reggie Theus;1978 / Round: 1 / Pick: 9th overall;6 ft 7 in (2.01 m);190 lb (86 kg);American;UNLV (1975–1978);Inglewood (Inglewood, California);1978–1993;Shooting guard;1978 ; Round: 1 ; Pick: 9th overall
Richard Hamilton;1999 / Round: 1 / Pick: 7th overall;6 ft 7 in (2.01 m);193 lb (88 kg);American;Connecticut (1996–1999);Coatesville Area (Coatesville, Pennsylvania);1999–2013;Shooting guard / Small forward;1999 ; Round: 1 ; Pick: 7th overall
Richie Guerin;1954 / Round: 2 / Pick: 17th overall;6 ft 4 in (1.93 m);195 lb (88 kg);American;Iona (1951–1954);Mount Saint Michael Academy (Bronx, New York);1956–1970;Guard;1954 ; Round: 2 ; Pick: 17th overall
Richie Regan;1953 / Round: 1 / Pick: 4th overall;6 ft 2 in (1.88 m);180 lb (82 kg);American;Seton Hall (1950–1953);West Side (Newark, New Jersey);1955–1959;Guard;1953 ; Round: 1 ; Pick: 4th overall
Rick Barry;1965 / Round: 1 / Pick: 2nd overall;6 ft 7 in (2.01 m);205 lb (93 kg);American;Miami (Florida) (1962–1965);Roselle Park (Roselle Park, New Jersey);1965–1980;Small forward;1965 ; Round: 1 ; Pick: 2nd overall
Rickey Green;1977 / Round: 1 / Pick: 16th overall;6 ft 0 in (1.83 m);170 lb (77 kg);American;Vincennes (1973–1975) Michigan (1975–1977);Hirsch Metropolitan (Chicago, Illinois);1977–1992;Point guard;1977 ; Round: 1 ; Pick: 16th overall
Ricky Pierce;1982 / Round: 1 / Pick: 18th overall;6 ft 4 in (1.93 m);205 lb (93 kg);American;Walla Walla CC (1978–1979) Rice (1979–1982);Garland (Garland, Texas);1982–1998;Shooting guard / Small forward;1982 ; Round: 1 ; Pick: 18th overall
Rik Smits;1988 / Round: 1 / Pick: 2nd overall;7 ft 4 in (2.24 m);250 lb (113 kg);Dutch;Marist (1984–1988);;1988–2000;Center;1988 ; Round: 1 ; Pick: 2nd overall
Robert Parish;1976 / Round: 1 / Pick: 8th overall;7 ft 0 in (2.13 m);230 lb (104 kg);American;Centenary (1972–1976);Woodlawn (Shreveport, Louisiana);1976–1997;Center;1976 ; Round: 1 ; Pick: 8th overall
Rod Hundley;1957 / Round: 1 / Pick: 1st overall;6 ft 4 in (1.93 m);185 lb (84 kg);American;West Virginia (1954–1957);Charleston (Charleston, West Virginia);1957–1963;Guard;1957 ; Round: 1 ; Pick: 1st overall
Rolando Blackman;1981 / Round: 1 / Pick: 9th overall;6 ft 6 in (1.98 m);190 lb (86 kg);American;Kansas State (1977–1981);William E. Grady (Brooklyn, New York);1981–1997;Shooting guard;1981 ; Round: 1 ; Pick: 9th overall
Roy Hibbert;2008 / Round: 1 / Pick: 17th overall;7 ft 2 in (2.18 m);270 lb (122 kg);American / Jamaican;Georgetown (2004–2008);Georgetown Prep (North Bethesda, Maryland);2008–present;Center;2008 ; Round: 1 ; Pick: 17th overall
Rudy LaRusso;1959 / Round: 2 / Pick: 10th overall;6 ft 7 in (2.01 m);220 lb (100 kg);American;Dartmouth (1956–1959);James Madison (Brooklyn, New York);1959–1969;Power forward / Center;1959 ; Round: 2 ; Pick: 10th overall
Rudy Tomjanovich;1970 / Round: 1 / Pick: 2nd overall;6 ft 8 in (2.03 m);228 lb (103 kg);American;Michigan (1967–1970);Hamtramck (Hamtramck, Michigan);1970–1981;Forward;1970 ; Round: 1 ; Pick: 2nd overall
Russell Westbrook;2008 / Round: 1 / Pick: 4th overall;6 ft 3 in (1.91 m);200 lb (91 kg);American;UCLA (2006–2008);Leuzinger (Lawndale, California);2008–present;Point guard;2008 ; Round: 1 ; Pick: 4th overall
Sam Cassell;1993 / Round: 1 / Pick: 24th overall;6 ft 3 in (1.91 m);185 lb (84 kg);American;San Jacinto (1989–1991) Florida State (1991–1993);Paul Laurence Dunbar (Baltimore, Maryland) Maine Central Institute (Pittsfield, Maine);1993–2008;Point guard;1993 ; Round: 1 ; Pick: 24th overall
Sam Jones;1957 / Round: 1 / Pick: 8th overall;6 ft 4 in (1.93 m);198 lb (90 kg);American;North Carolina Central (1951–1954, 1956–1957);Laurinburg Institute (Laurinburg, North Carolina);1957–1969;Shooting guard;1957 ; Round: 1 ; Pick: 8th overall
Sam Lacey;1970 / Round: 1 / Pick: 5th overall;6 ft 10 in (2.08 m);235 lb (107 kg);American;New Mexico State (1967–1970);Gentry (Indianola, Mississippi);1970–1983;Center;1970 ; Round: 1 ; Pick: 5th overall
Scott Wedman;1974 / Round: 1 / Pick: 6th overall;6 ft 7 in (2.01 m);215 lb (98 kg);American;Colorado (1971–1974);Mullen (Denver, Colorado);1974–1986;Small forward;1974 ; Round: 1 ; Pick: 6th overall
Scottie Pippen;1987 / Round: 1 / Pick: 5th overall;6 ft 8 in (2.03 m);228 lb (103 kg);American;Central Arkansas (1983–1987);Hamburg (Hamburg, Arkansas);1987–2008;Small forward;1987 ; Round: 1 ; Pick: 5th overall
Sean Elliott;1989 / Round: 1 / Pick: 3rd overall;6 ft 8 in (2.03 m);220 lb (100 kg);American;Arizona (1985–1989);Cholla (Tucson, Arizona);1989–2001;Small forward;1989 ; Round: 1 ; Pick: 3rd overall
Shaquille O'Neal;1992 / Round: 1 / Pick: 1st overall;7 ft 1 in (2.16 m);325 lb (147 kg);American;LSU (1989–1992);Robert G. Cole (San Antonio, Texas);1992–2011;Center;1992 ; Round: 1 ; Pick: 1st overall
