player;nba_draft;listed_height;listed_weight;nationality;college;high_school;playing_career;position;draft_year;draft_round;draft_pick
A. C. Green;1985 / Round: 1 / Pick: 23rd overall;6 ft 9 in (2.06 m);220 lb (100 kg);American;Oregon State (1981–1985);Benson Polytechnic (Portland, Oregon);1985–2001;Power forward;1985 ; Round: 1 ; Pick: 23rd overall
Adrian Dantley;1976 / Round: 1 / Pick: 6th overall;6 ft 5 in (1.96 m);208 lb (94 kg);;Notre Dame (1973–1976);DeMatha Catholic (Hyattsville, Maryland);1976–1991;Small forward;1976 ; Round: 1 ; Pick: 6th overall
Adrian Smith;1958 / Round: 15 / Pick: 85th overall;6 ft 1 in (1.85 m);180 lb (82 kg);American;Northeast Mississippi CC (1954–1956) Kentucky (1956–1958);Farmington (Farmington, Kentucky);1961–1972;Point guard;1958 ; Round: 15 ; Pick: 85th overall
Al Horford;2007 / Round: 1 / Pick: 3rd overall;6 ft 10 in (2.08 m);245 lb (111 kg);Dominican;Florida (2004–2007);Grand Ledge (Grand Ledge, Michigan);2007–present;Center / Power forward;2007 ; Round: 1 ; Pick: 3rd overall
Alex English;1976 / Round: 2 / Pick: 23rd overall;6 ft 7 in (2.01 m);190 lb (86 kg);American;South Carolina (1972–1976);Dreher (Columbia, South Carolina);1976–1992;Small forward;1976 ; Round: 2 ; Pick: 23rd overall
Alex Groza;1949 / Round: 1 / Pick: 2nd overall;6 ft 7 in (2.01 m);218 lb (99 kg);American;Kentucky (1945–1949);Martins Ferry (Martins Ferry, Ohio);1949–1951;Center;1949 ; Round: 1 ; Pick: 2nd overall
Allan Houston;1993 / Round: 1 / Pick: 11th overall;6 ft 6 in (1.98 m);205 lb (93 kg);American;Tennessee (1989–1993);Ballard (Louisville, Kentucky);1993–2005;Shooting guard;1993 ; Round: 1 ; Pick: 11th overall
Allen Iverson;1996 / Round: 1 / Pick: 1st overall;6 ft 0 in (1.83 m);165 lb (75 kg);American;Georgetown (1994–1996);Bethel (Hampton, Virginia);1996–2011;Guard;1996 ; Round: 1 ; Pick: 1st overall
Alonzo Mourning;1992 / Round: 1 / Pick: 2nd overall;6 ft 10 in (2.08 m);240 lb (109 kg);American;Georgetown (1988–1992);Indian River (Chesapeake, Virginia);1992–2008;Center / Power forward;1992 ; Round: 1 ; Pick: 2nd overall
Alvan Adams;1975 / Round: 1 / Pick: 4th overall;6 ft 9 in (2.06 m);210 lb (95 kg);American;Oklahoma (1972–1975);Putnam City (Oklahoma City, Oklahoma);1975–1988;Power forward / Center;1975 ; Round: 1 ; Pick: 4th overall
Alvin Robertson;1984 / Round: 1 / Pick: 7th overall;6 ft 3 in (1.91 m);185 lb (84 kg);American;Crowder College (1980–1981) Arkansas (1981–1984);Barberton (Barberton, Ohio);1984–2000;Shooting guard;1984 ; Round: 1 ; Pick: 7th overall
Amar'e Stoudemire;2002 / Round: 1 / Pick: 9th overall;6 ft 10 in (2.08 m);245 lb (111 kg);American;;Cypress Creek (Orlando, Florida);2002–present;Power forward / Center;2002 ; Round: 1 ; Pick: 9th overall
Andre Drummond;2012 / Round: 1 / Pick: 9th overall;6 ft 11 in (2.11 m);279 lb (127 kg);American;Connecticut (2011–2012);St. Thomas More (Oakdale, Connecticut);2012–present;Center;2012 ; Round: 1 ; Pick: 9th overall
Andre Iguodala;2004 / Round: 1 / Pick: 9th overall;6 ft 6 in (1.98 m);215 lb (98 kg);American;Arizona (2002–2004);Lanphier (Springfield, Illinois);2004–present;Small forward / Shooting guard;2004 ; Round: 1 ; Pick: 9th overall
Andrei Kirilenko;1999 / Round: 1 / Pick: 24th overall;6 ft 9 in (2.06 m);235 lb (107 kg);Russian / American;;;1997–2015;Forward;1999 ; Round: 1 ; Pick: 24th overall
Andrew Bynum;2005 / Round: 1 / Pick: 10th overall;7 ft 0 in (2.13 m);285 lb (129 kg);American;;St. Joseph (Metuchen, New Jersey);2005–present;Center;2005 ; Round: 1 ; Pick: 10th overall
Andrew Toney;1980 / Round: 1 / Pick: 8th overall;6 ft 3 in (1.91 m);178 lb (81 kg);American;Louisiana–Lafayette (1976–1980);Charles B. Glenn (Birmingham, Alabama);1980–1988;Shooting guard;1980 ; Round: 1 ; Pick: 8th overall
Andy Phillip;1947 / Round: -- / Pick: --;6 ft 2 in (1.88 m);195 lb (88 kg);American;Illinois (1941–1943, 1946–1947);Granite City (Granite City, Illinois);1947–1958;Guard / Forward;1947 ; Round: -- ; Pick: --
Antawn Jamison;1998 / Round: 1 / Pick: 4th overall;6 ft 9 in (2.06 m);235 lb (107 kg);American;North Carolina (1995–1998);Providence (Charlotte, North Carolina);1998–2014;Power forward / Small forward;1998 ; Round: 1 ; Pick: 4th overall
Anthony Davis;2012 / Round: 1 / Pick: 1st overall;6 ft 10 in (2.08 m);253 lb (115 kg);American;Kentucky (2011–2012);Perspectives Charter (Chicago, Illinois);2012–present;Power forward / Center;2012 ; Round: 1 ; Pick: 1st overall
Anthony Mason;1988 / Round: 3 / Pick: 53rd overall;6 ft 7 in (2.01 m);250 lb (113 kg);American;Tennessee State (1984–1988);Springfield Gardens (Queens, New York);1988–2003;Forward;1988 ; Round: 3 ; Pick: 53rd overall
Antoine Walker;1996 / Round: 1 / Pick: 6th overall;6 ft 9 in (2.06 m);265 lb (120 kg);American;Kentucky (1994–1996);Mount Carmel (Chicago, Illinois);1996–2012;Forward;1996 ; Round: 1 ; Pick: 6th overall
Antonio Davis;1990 / Round: 2 / Pick: 45th overall;6 ft 9 in (2.06 m);215 lb (98 kg);American;UTEP (1986–1990);McClymonds (Oakland, California);1990–2006;Power forward / Center;1990 ; Round: 2 ; Pick: 45th overall
Antonio McDyess;1995 / Round: 1 / Pick: 2nd overall;6 ft 9 in (2.06 m);245 lb (111 kg);American;Alabama (1993–1995);Quitman (Quitman, Mississippi);1995–2011;Power forward / Center;1995 ; Round: 1 ; Pick: 2nd overall
Archie Clark;1966 / Round: 4 / Pick: 37th overall;6 ft 2 in (1.88 m);175 lb (79 kg);American;Minnesota (1963–1966);Ecorse (Ecorse, Michigan);1966–1976;Guard;1966 ; Round: 4 ; Pick: 37th overall
Arnie Risen;;6 ft 9 in (2.06 m);200 lb (91 kg);American;Eastern Kentucky (1942–1943) Ohio State (1943–1945);Williamstown (Williamstown, Kentucky);1945–1958;Center;;;
Artis Gilmore;1971 / Round: 7 / Pick: 117th overall;7 ft 2 in (2.18 m);240 lb (109 kg);American;Gardner–Webb (1967–1969) Jacksonville (1969–1971);Carver (Dothan, Alabama);1971–1989;Center;1971 ; Round: 7 ; Pick: 117th overall
Austin Carr;1971 / Round: 1 / Pick: 1st overall;6 ft 4 in (1.93 m);200 lb (91 kg);American;Notre Dame (1968–1971);Mackin (Washington, D.C.);1971–1981;Guard;1971 ; Round: 1 ; Pick: 1st overall
B. J. Armstrong;1989 / Round: 1 / Pick: 18th overall;6 ft 2 in (1.88 m);175 lb (79 kg);American;Iowa (1985–1989);Brother Rice (Bloomfield Hills, Michigan);1989–2000;Point guard / Shooting guard;1989 ; Round: 1 ; Pick: 18th overall
Bailey Howell;1959 / Round: 1 / Pick: 2nd overall;6 ft 7 in (2.01 m);210 lb (95 kg);American;Mississippi State (1956–1959);Middleton (Middleton, Tennessee);1959–1971;Small forward;1959 ; Round: 1 ; Pick: 2nd overall
Baron Davis;1999 / Round: 1 / Pick: 3rd overall;6 ft 3 in (1.91 m);215 lb (98 kg);American;UCLA (1997–1999);Crossroads School (Santa Monica, California);1999–present;Point guard;1999 ; Round: 1 ; Pick: 3rd overall
Ben Wallace;1996 / Undrafted;6 ft 9 in (2.06 m);240 lb (109 kg);American;Cuyahoga CC (1992–1994) Virginia Union (1994–1996);Central (Hayneville, Alabama);1996–2012;Center;1996 ; Undrafted;
Bernard King;1977 / Round: 1 / Pick: 7th overall;6 ft 7 in (2.01 m);205 lb (93 kg);American;Tennessee (1974–1977);Fort Hamilton (Brooklyn, New York);1977–1993;Small forward;1977 ; Round: 1 ; Pick: 7th overall
Bill Bradley;1965 / Pick: Territorial;;;American;Princeton (1962–1965);Crystal City (Crystal City, Missouri);1965–1977;Shooting guard / Small forward;1965 ; Pick: Territorial;
Bill Bridges;1961 / Round: 3 / Pick: 32nd overall;6 ft 6 in (1.98 m);228 lb (103 kg);American;Kansas (1958–1961);Hobbs (Hobbs, New Mexico);1961–1975;Power forward / Center;1961 ; Round: 3 ; Pick: 32nd overall
Bill Cartwright;1979 / Round: 1 / Pick: 3rd overall;7 ft 1 in (2.16 m);245 lb (111 kg);American;San Francisco (1975–1979);Elk Grove (Elk Grove, California);1979–1995;Center;1979 ; Round: 1 ; Pick: 3rd overall
Bill Laimbeer;1979 / Round: 3 / Pick: 65th overall;6 ft 11 in (2.11 m);245 lb (111 kg);American;Notre Dame (1975–1979);Palos Verdes (Palos Verdes, California);1979–1993;Center;1979 ; Round: 3 ; Pick: 65th overall
Bill Russell;1956 / Round: 1 / Pick: 2nd overall;6 ft 10 in (2.08 m);220 lb (100 kg);American;San Francisco (1953–1956);McClymonds (Oakland, California);1956–1969;Center;1956 ; Round: 1 ; Pick: 2nd overall
Bill Sharman;1950 / Round: 2 / Pick: 17th overall;6 ft 1 in (1.85 m);175 lb (79 kg);American;USC (1946–1950);Porterville (Porterville, California);1950–1961;Guard;1950 ; Round: 2 ; Pick: 17th overall
Bill Walton;1974 / Round: 1 / Pick: 1st overall;6 ft 11 in (2.11 m);210 lb (95 kg);American;UCLA (1971–1974);Helix (La Mesa, California);1974–1987;Center;1974 ; Round: 1 ; Pick: 1st overall
Billy Cunningham;1965 / Round: 1 / Pick: 5th overall;6 ft 7 in (2.01 m);210 lb (95 kg);American;North Carolina (1962–1965);Erasmus Hall (Brooklyn, New York);1965–1976;Forward / Center;1965 ; Round: 1 ; Pick: 5th overall
Billy Gabor;1948 / Round: -- / Pick: --;5 ft 11 in (1.80 m);170 lb (77 kg);American;Syracuse (1942–1943, 1945–1948);Binghamton Central (Binghamton, New York);1948–1955;Point guard;1948 ; Round: -- ; Pick: --
Billy Knight;1974 / Round: 2 / Pick: 21st overall;6 ft 6 in (1.98 m);195 lb (88 kg);American;Pittsburgh (1971–1974);Braddock (Braddock, Pennsylvania);1974–1985;Shooting guard / Small forward;1974 ; Round: 2 ; Pick: 21st overall
Blake Griffin;2009 / Round: 1 / Pick: 1st overall;6 ft 10 in (2.08 m);251 lb (114 kg);American;Oklahoma (2007–2009);Oklahoma Christian (Edmond, Oklahoma);2009–present;Power forward;2009 ; Round: 1 ; Pick: 1st overall
Bob Boozer;1959 / Round: 1 / Pick: 1st overall;6 ft 8 in (2.03 m);215 lb (98 kg);American;Kansas State (1956–1959);Omaha Technical (Omaha, Nebraska);1959–1971;Power forward;1959 ; Round: 1 ; Pick: 1st overall
Bob Cousy;1950 / Round: 1 / Pick: 3rd overall;6 ft 1 in (1.85 m);175 lb (79 kg);American;Holy Cross (1946–1950);Andrew Jackson (Queens, New York);1950–1970;Point guard;1950 ; Round: 1 ; Pick: 3rd overall
Bob Dandridge;1969 / Round: 4 / Pick: 45th overall;6 ft 6 in (1.98 m);195 lb (88 kg);American;Norfolk State (1965–1969);Maggie Walker (Richmond, Virginia);1969–1981;Small forward / Shooting guard;1969 ; Round: 4 ; Pick: 45th overall
Bob Davies;;6 ft 1 in (1.85 m);175 lb (79 kg);American;Seton Hall (1939–1942);John Harris (Harrisburg, Pennsylvania);1943–1955;Guard / Forward;;;
Bob Harrison;1949 / Round: -- / Pick: --;6 ft 1 in (1.85 m);190 lb (86 kg);American;Michigan (1945–1949);Woodward (Toledo, Ohio);1949–1958;Guard;1949 ; Round: -- ; Pick: --
Bob Kauffman;1968 / Round: 1 / Pick: 3rd overall;6 ft 8 in (2.03 m);240 lb (109 kg);American;Guilford (1964–1968);Scarsdale (Scarsdale, New York);1968–1975;Power forward / Center;1968 ; Round: 1 ; Pick: 3rd overall
Bob Lanier;1970 / Round: 1 / Pick: 1st overall;6 ft 10 in (2.08 m);250 lb (113 kg);American;St. Bonaventure (1967–1970);Bennett (Buffalo, New York);1970–1984;Center;1970 ; Round: 1 ; Pick: 1st overall
Bob Love;1965 / Round: 4 / Pick: 33rd overall;6 ft 8 in (2.03 m);215 lb (98 kg);American;Southern (1961–1965);Morehouse (Bastrop, Louisiana);1965–1977;Small forward;1965 ; Round: 4 ; Pick: 33rd overall
Bob McAdoo;1972 / Round: 1 / Pick: 2nd overall;6 ft 9 in (2.06 m);210 lb (95 kg);American;Vincennes (1969–1971) North Carolina (1971–1972);Ben L. Smith (Greensboro, North Carolina);1972–1993;Forward / Center;1972 ; Round: 1 ; Pick: 2nd overall
Bob Pettit;1954 / Round: 1 / Pick: 2nd overall;6 ft 9 in (2.06 m);205 lb (93 kg);American;LSU (1951–1954);Baton Rouge (Baton Rouge, Louisiana);1954–1965;Power forward / Center;1954 ; Round: 1 ; Pick: 2nd overall
Bob Rule;1967 / Round: 2 / Pick: 19th overall;6 ft 9 in (2.06 m);220 lb (100 kg);American;Riverside CC (1963–1965) Colorado State (1965–1967);Riverside Polytechnic (Riverside, California);1967–1974;Power forward / Center;1967 ; Round: 2 ; Pick: 19th overall
Bobby Jones;1974 / Round: 1 / Pick: 5th overall;6 ft 9 in (2.06 m);210 lb (95 kg);American;North Carolina (1971–1974);South Mecklenburg (Charlotte, North Carolina);1974–1986;Forward;1974 ; Round: 1 ; Pick: 5th overall
Bobby Wanzer;1948 / Round: 1 / Pick: 10th overall;6 ft 0 in (1.83 m);170 lb (77 kg);American;Seton Hall (1942–1943, 1946–1947);Benjamin Franklin (New York City, New York);1947–1957;Guard;1948 ; Round: 1 ; Pick: 10th overall
Brad Daugherty;1986 / Round: 1 / Pick: 1st overall;7 ft 0 in (2.13 m);245 lb (111 kg);American;North Carolina (1982–1986);Charles D. Owen (Black Mountain, North Carolina);1986–1995;Center;1986 ; Round: 1 ; Pick: 1st overall
Brad Miller;1998 / Undrafted;7 ft 0 in (2.13 m);261 lb (118 kg);American;Purdue (1994–1998);East Noble (Kendallville, Indiana) Maine Central Institute (Pittsfield, Maine);1998–2012;Center / Power forward;1998 ; Undrafted;
Brandon Roy;2006 / Round: 1 / Pick: 6th overall;6 ft 6 in (1.98 m);211 lb (96 kg);American;Washington (2002–2006);Garfield (Seattle, Washington);2006–2013;Shooting guard;2006 ; Round: 1 ; Pick: 6th overall
Brian Winters;1974 / Round: 1 / Pick: 12th overall;6 ft 4 in (1.93 m);185 lb (84 kg);American;South Carolina (1971–1974);Archbishop Molloy (Queens, New York);1974–1983;Shooting guard / Small forward;1974 ; Round: 1 ; Pick: 12th overall
Brook Lopez;2008 / Round: 1 / Pick: 10th overall;7 ft 0 in (2.13 m);275 lb (125 kg);American;Stanford (2006–2008);San Joaquin Memorial (Fresno, California);2008–present;Center;2008 ; Round: 1 ; Pick: 10th overall
Buck Williams;1981 / Round: 1 / Pick: 3rd overall;6 ft 8 in (2.03 m);215 lb (98 kg);American;Maryland (1978–1981);Rocky Mount (Rocky Mount, North Carolina);1981–1999;Power forward / Center;1981 ; Round: 1 ; Pick: 3rd overall
Butch Beard;1969 / Round: 1 / Pick: 10th overall;6 ft 3 in (1.91 m);185 lb (84 kg);American;Louisville (1966–1969);Breckinridge County (Harned, Kentucky);1969–1979;Guard;1969 ; Round: 1 ; Pick: 10th overall
Calvin Murphy;1970 / Round: 2 / Pick: 18th overall;5 ft 9 in (1.75 m);165 lb (75 kg);American;Niagara (1967–1970);Norwalk (Norwalk, Connecticut);1970–1983;Guard;1970 ; Round: 2 ; Pick: 18th overall
Calvin Natt;1979 / Round: 1 / Pick: 8th overall;6 ft 6 in (1.98 m);220 lb (100 kg);American;Louisiana–Monroe (1975–1979);Bastrop (Bastrop, Louisiana);1979–1990;Small forward;1979 ; Round: 1 ; Pick: 8th overall
Campy Russell;1974 / Round: 1 / Pick: 8th overall;6 ft 8 in (2.03 m);215 lb (98 kg);American;Michigan (1972–1974);Pontiac Central (Pontiac, Michigan);1974–1985;Small forward;1974 ; Round: 1 ; Pick: 8th overall
Carl Braun;;6 ft 5 in (1.96 m);180 lb (82 kg);American;Colgate (1945–1947);Garden City (Garden City, New York);1947–1962;Shooting guard;;;
Carlos Boozer;2002 / Round: 2 / Pick: 35th overall;6 ft 9 in (2.06 m);258 lb (117 kg);American;Duke (1999–2002);Juneau-Douglas (Juneau, Alaska);2002–present;Power forward;2002 ; Round: 2 ; Pick: 35th overall
Carmelo Anthony;2003 / Round: 1 / Pick: 3rd overall;6 ft 8 in (2.03 m);240 lb (109 kg);American;Syracuse (2002–2003);Towson Catholic (Towson, Maryland) Oak Hill Academy (Mouth of Wilson, Virginia);2003–present;Small forward;2003 ; Round: 1 ; Pick: 3rd overall
Caron Butler;2002 / Round: 1 / Pick: 10th overall;6 ft 7 in (2.01 m);228 lb (103 kg);American;Connecticut (2000–2002);Racine Park (Racine, Wisconsin) Maine Central Institute (Pittsfield, Maine);2002–present;Small forward;2002 ; Round: 1 ; Pick: 10th overall
Cazzie Russell;1966 / Round: 1 / Pick: 1st overall;6 ft 5 in (1.96 m);218 lb (99 kg);American;Michigan (1963–1966);Carver (Chicago, Illinois);1966–1981;Small forward / Guard;1966 ; Round: 1 ; Pick: 1st overall
Cedric Ceballos;1990 / Round: 2 / Pick: 48th overall;6 ft 7 in (2.01 m);220 lb (100 kg);American;Ventura (1986–1988) Cal State Fullerton (1988–1990);Dominguez (Compton, California);1990–2011;Small forward;1990 ; Round: 2 ; Pick: 48th overall
Charles Barkley;1984 / Round: 1 / Pick: 5th overall;6 ft 6 in (1.98 m);252 lb (114 kg);American;Auburn (1981–1984);Leeds (Leeds, Alabama);1984–2000;Power forward;1984 ; Round: 1 ; Pick: 5th overall
Charles Oakley;1985 / Round: 1 / Pick: 9th overall;6 ft 8 in (2.03 m);245 lb (111 kg);American;Virginia Union (1981–1985);John Hay (Cleveland, Ohio);1985–2004;Power forward / Center;1985 ; Round: 1 ; Pick: 9th overall
Charlie Scott;1970 / Round: 7 / Pick: 106th overall;6 ft 5 in (1.96 m);175 lb (79 kg);American;North Carolina (1967–1970);Laurinburg Institute (Laurinburg, North Carolina);1970–1980;Shooting guard;1970 ; Round: 7 ; Pick: 106th overall
Chauncey Billups;1997 / Round: 1 / Pick: 3rd overall;6 ft 3 in (1.91 m);210 lb (95 kg);American;Colorado (1995–1997);George Washington (Denver, Colorado);1997–2014;Point guard / Shooting guard;1997 ; Round: 1 ; Pick: 3rd overall
Chet Walker;;6 ft 2 in (1.88 m);170 lb (77 kg);American;St. John's (1945–1946);Thomas Jefferson (Brooklyn, New York);1946–1956;Shooting guard;;;
Chris Bosh;2003 / Round: 1 / Pick: 4th overall;6 ft 11 in (2.11 m);235 lb (107 kg);American;Georgia Tech (2002–2003);Lincoln (Dallas, Texas);2003–present;Power forward / Center;2003 ; Round: 1 ; Pick: 4th overall
Chris Gatling;1991 / Round: 1 / Pick: 16th overall;6 ft 10 in (2.08 m);220 lb (100 kg);American;Old Dominion (1988–1991);Elizabeth (Elizabeth, New Jersey);1991–2003;Power forward;1991 ; Round: 1 ; Pick: 16th overall
Chris Kaman;2003 / Round: 1 / Pick: 6th overall;7 ft 0 in (2.13 m);265 lb (120 kg);American / German;Central Michigan (2000–2003);Tri-unity Christian School (Wyoming, Michigan);2003–present;Center;2003 ; Round: 1 ; Pick: 6th overall
Chris Mullin;1985 / Round: 1 / Pick: 7th overall;6 ft 6 in (1.98 m);200 lb (91 kg);American;St. John's (1981–1985);Power Memorial (New York City, New York) Xaverian (Brooklyn, New York);1985–2001;Small forward / Shooting guard;1985 ; Round: 1 ; Pick: 7th overall
Chris Paul;2005 / Round: 1 / Pick: 4th overall;6 ft 0 in (1.83 m);175 lb (79 kg);American;Wake Forest (2003–2005);West Forsyth (Clemmons, North Carolina);2005–present;Point guard;2005 ; Round: 1 ; Pick: 4th overall
Chris Webber;1993 / Round: 1 / Pick: 1st overall;6 ft 10 in (2.08 m);245 lb (111 kg);American;Michigan (1991–1993);Detroit Country Day (Beverly Hills, Michigan);1993–2008;Power forward / Center[1];1993 ; Round: 1 ; Pick: 1st overall
Christian Laettner;1992 / Round: 1 / Pick: 3rd overall;6 ft 11 in (2.11 m);238 lb (108 kg);American;Duke (1988–1992);Nichols School (Buffalo, New York);1992–2005, 2011–2012;Power forward / Center;1992 ; Round: 1 ; Pick: 3rd overall
Chuck Noble;1954 / Round: 4 / Pick: 30th overall;6 ft 4 in (1.93 m);190 lb (86 kg);American;Louisville (1950–1954);Akron South (Akron, Ohio);1954–1962;Guard;1954 ; Round: 4 ; Pick: 30th overall
Cliff Hagan;1953 / Round: 3 / Pick: 21st overall;6 ft 4 in (1.93 m);210 lb (95 kg);American;Kentucky (1950–1954);Owensboro (Owensboro, Kentucky);1956–1969;Small forward / Guard;1953 ; Round: 3 ; Pick: 21st overall
Clifford Robinson;1978 / Round: 1 / Pick: 15th overall;6 ft 7 in (2.01 m);215 lb (98 kg);American;Auburn (1974–1978);Luther Judson Price (Atlanta, Georgia);1978–1999;Small forward;1978 ; Round: 1 ; Pick: 15th overall
Clyde Drexler;1983 / Round: 1 / Pick: 14th overall;6 ft 7 in (2.01 m);210 lb (95 kg);American;Houston (1980–1983);Sterling (Houston, Texas);1983–1998;Shooting guard / Small forward;1983 ; Round: 1 ; Pick: 14th overall
Clyde Lee;1966 / Round: 1 / Pick: 3rd overall;6 ft 10 in (2.08 m);205 lb (93 kg);American;Vanderbilt (1963–1966);David Lipscomb (Nashville, Tennessee);1966–1976;Power forward / Center;1966 ; Round: 1 ; Pick: 3rd overall
Clyde Lovellette;1952 / Round: 1 / Pick: 9th overall;6 ft 9 in (2.06 m);234 lb (106 kg);American;Kansas (1949–1952);Garfield (Terre Haute, Indiana);1952–1964;Center / Power forward;1952 ; Round: 1 ; Pick: 9th overall
Connie Hawkins;1964 / Undrafted;6 ft 8 in (2.03 m);210 lb (95 kg);American;;Boys (Brooklyn, New York);1961–1976;Power forward / Center;1964 ; Undrafted;
Curtis Rowe;1971 / Round: 1 / Pick: 11th overall;6 ft 7 in (2.01 m);225 lb (102 kg);American;UCLA (1968–1971);John C. Fremont (Los Angeles, California);1971–1979;Power forward;1971 ; Round: 1 ; Pick: 11th overall
Dale Davis;1991 / Round: 1 / Pick: 13th overall;6 ft 11 in (2.11 m);252 lb (114 kg);American;Clemson (1987–1991);Stephens County (Toccoa, Georgia);1991–2007;Power forward / Center;1991 ; Round: 1 ; Pick: 13th overall
Dale Ellis;1983 / Round: 1 / Pick: 9th overall;6 ft 7 in (2.01 m);205 lb (93 kg);American;Tennessee (1979–1983);Marietta (Marietta, Georgia);1983–2000;Shooting guard / Small forward;1983 ; Round: 1 ; Pick: 9th overall
Damian Lillard;2012 / Round: 1 / Pick: 6th overall;6 ft 3 in (1.91 m);195 lb (88 kg);American;Weber State (2008–2012);St. Joseph Notre Dame (Alameda, California) Oakland (Oakland, California);2012–present;Point guard;2012 ; Round: 1 ; Pick: 6th overall
Dan Issel;1970 / Round: 8 / Pick: 122nd overall;6 ft 9 in (2.06 m);235 lb (107 kg);American;Kentucky (1967–1970);Batavia (Batavia, Illinois);1970–1985;Center / Power forward;1970 ; Round: 8 ; Pick: 122nd overall
Dan Majerle;1988 / Round: 1 / Pick: 14th overall;6 ft 6 in (1.98 m);222 lb (101 kg);American;Central Michigan (1984–1988);Central (Traverse City, Michigan);1988–2002;Shooting guard / Small forward;1988 ; Round: 1 ; Pick: 14th overall
Dan Roundfield;1975 / Round: 2 / Pick: 28th overall;6 ft 8 in (2.03 m);205 lb (93 kg);American;Central Michigan (1972–1975);Chadsey (Detroit, Michigan);1975–1988;Power forward;1975 ; Round: 2 ; Pick: 28th overall
Dana Barros;1989 / Round: 1 / Pick: 16th overall;5 ft 11 in (1.80 m);163 lb (74 kg);Dual Citizenship: U.S. and Cape Verdian[1];Boston College (1985–1989);Xaverian (Westwood, Massachusetts);1989–2004;Guard;1989 ; Round: 1 ; Pick: 16th overall
Danny Ainge;1981 / Round: 2 / Pick: 31st overall;6 ft 5 in (1.96 m);195 lb (88 kg);American;BYU (1977–1981);North Eugene (Eugene, Oregon);1981–1995;Shooting guard;1981 ; Round: 2 ; Pick: 31st overall
Danny Granger;2005 / Round: 1 / Pick: 17th overall;6 ft 9 in (2.06 m);222 lb (101 kg);American;Bradley (2001–2003) New Mexico (2003–2005);Grace King (Metairie, Louisiana);2005–present;Small forward;2005 ; Round: 1 ; Pick: 17th overall
Danny Manning;1988 / Round: 1 / Pick: 1st overall;6 ft 10 in (2.08 m);230 lb (104 kg);American;Kansas (1984–1988);Page (Greensboro, North Carolina) Lawrence (Lawrence, Kansas);1988–2003;Power forward;1988 ; Round: 1 ; Pick: 1st overall
Darrall Imhoff;1960 / Round: 1 / Pick: 3rd overall;6 ft 10 in (2.08 m);220 lb (100 kg);American;California (1957–1960);Alhambra (Alhambra, California);1960–1972;Center;1960 ; Round: 1 ; Pick: 3rd overall
Dave Bing;1966 / Round: 1 / Pick: 2nd overall;6 ft 3 in (1.91 m);180 lb (82 kg);American;Syracuse (1963–1966);Spingarn (Washington, D.C.);1966–1978;Guard;1966 ; Round: 1 ; Pick: 2nd overall
Dave Cowens;1970 / Round: 1 / Pick: 4th overall;6 ft 9 in (2.06 m);230 lb (104 kg);American;Florida State (1967–1970);Newport Catholic (Newport, Kentucky);1970–1983;Center / Power forward;1970 ; Round: 1 ; Pick: 4th overall
Dave DeBusschere;1962 / Pick: Territorial;6 ft 6 in (1.98 m);220 lb (100 kg);American;Detroit (1959–1962);Austin Catholic Preparatory School (Detroit, Michigan);1962–1974;Forward;1962 ; Pick: Territorial;
David Lee;2005 / Round: 1 / Pick: 30th overall;6 ft 9 in (2.06 m);245 lb (111 kg);American;Florida (2001–2005);Chaminade (Creve Coeur, Missouri);2005–present;Power forward / Center;2005 ; Round: 1 ; Pick: 30th overall
David Robinson;1987 / Round: 1 / Pick: 1st overall;7 ft 1 in (2.16 m);235 lb (107 kg);American;Navy (1983–1987);Osbourn Park (Manassas, Virginia);1989–2003;Center;1987 ; Round: 1 ; Pick: 1st overall
David Thompson;1975 / Round: 1 / Pick: 1st overall;6 ft 4 in (1.93 m);195 lb (88 kg);American;NC State (1972–1975);Crest (Shelby, North Carolina);1975–1984;Small forward / Shooting guard;1975 ; Round: 1 ; Pick: 1st overall
David West;2003 / Round: 1 / Pick: 18th overall;6 ft 9 in (2.06 m);250 lb (113 kg);American;Xavier (1999–2003);Garner Magnet (Garner, North Carolina) Hargrave Military Academy (Chatham, Virginia);2003–present;Power forward;2003 ; Round: 1 ; Pick: 18th overall
DeMar DeRozan;2009 / Round: 1 / Pick: 9th overall;6 ft 7 in (2.01 m);220 lb (100 kg);American;USC (2008–2009);Compton (Compton, California);2009–present;Shooting guard;2009 ; Round: 1 ; Pick: 9th overall
DeMarcus Cousins;2010 / Round: 1 / Pick: 5th overall;6 ft 11 in (2.11 m);270 lb (122 kg);American;Kentucky (2009–2010);LeFlore (Mobile, Alabama);2010–present;Center / Power forward;2010 ; Round: 1 ; Pick: 5th overall
Dennis Johnson;1976 / Round: 2 / Pick: 29th overall;6 ft 4 in (1.93 m);182 lb (83 kg);American;LA Harbor College (1973–1975) Pepperdine (1975–1976);Dominguez (Compton, California);1976–1990;Guard;1976 ; Round: 2 ; Pick: 29th overall
Dennis Rodman;1986 / Round: 2 / Pick: 27th overall;6 ft 7 in (2.01 m)[a];220 lb (100 kg)[1];American;North Central Texas (1983) Southeastern Oklahoma State (1983–1986);South Oak Cliff (Dallas, Texas);1986–2006;Power forward;1986 ; Round: 2 ; Pick: 27th overall
